"event.id","visible","timestamp","location.long","location.lat","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
7017147850,TRUE,"3/30/21 7:30",-87.311919,36.437187,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",472043.4252,4032485.841,"16S"
7017147851,TRUE,"3/31/21 7:30",-87.315579,36.438821,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471715.9798,4032668.156,"16S"
7017147852,TRUE,"4/1/21 7:30",-87.315881,36.438982,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471688.9712,4032686.103,"16S"
7017147853,TRUE,"4/2/21 7:30",-87.315298,36.438669,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471741.1097,4032651.214,"16S"
7017147854,TRUE,"4/3/21 7:30",-87.314468,36.437133,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471814.944,4032480.593,"16S"
7017147855,TRUE,"4/4/21 7:30",-87.31519,36.437633,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471750.4138,4032536.265,"16S"
7017147856,TRUE,"4/5/21 7:30",-87.317056,36.439762,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471583.9452,4032772.969,"16S"
7017147857,TRUE,"4/6/21 7:30",-87.317768,36.439979,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471520.2115,4032797.249,"16S"
7017147858,TRUE,"4/7/21 7:30",-87.315264,36.438101,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471743.951,4032588.199,"16S"
7017147859,TRUE,"4/8/21 7:30",-87.313217,36.437109,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471927.06,4032477.566,"16S"
7017147860,TRUE,"4/9/21 7:30",-87.315792,36.437299,"point-count",2,"Parkesia motacilla","m2","Louisiana Waterthrush",471696.3368,4032499.394,"16S"
